"","ProfileOutput"
"Position","Intensity"
"m","Counts"
0.000000e+00,2.125939e+04
5.481161e-10,2.124482e+04
1.096232e-09,2.123657e+04
1.644348e-09,2.123006e+04
2.192464e-09,2.122562e+04
2.740581e-09,2.122310e+04
3.288697e-09,2.122056e+04
3.836813e-09,2.122610e+04
4.384929e-09,2.122885e+04
4.933045e-09,2.123507e+04
5.481161e-09,2.124770e+04
6.029277e-09,2.126182e+04
6.577393e-09,2.127782e+04
7.125509e-09,2.129860e+04
7.673626e-09,2.131873e+04
8.221742e-09,2.134028e+04
8.769858e-09,2.136237e+04
9.317974e-09,2.138192e+04
9.866090e-09,2.140371e+04
1.041421e-08,2.143037e+04
1.096232e-08,2.144941e+04
1.151044e-08,2.146772e+04
1.205855e-08,2.148412e+04
1.260667e-08,2.149401e+04
1.315479e-08,2.150379e+04
1.370290e-08,2.151230e+04
1.425102e-08,2.151721e+04
1.479914e-08,2.151796e+04
1.534725e-08,2.150838e+04
1.589537e-08,2.150183e+04
1.644348e-08,2.148793e+04
1.699160e-08,2.147225e+04
1.753972e-08,2.144738e+04
1.808783e-08,2.142139e+04
1.863595e-08,2.139637e+04
1.918406e-08,2.136276e+04
1.973218e-08,2.133589e+04
2.028030e-08,2.130185e+04
2.082841e-08,2.126234e+04
2.137653e-08,2.122297e+04
2.192464e-08,2.118444e+04
2.247276e-08,2.114993e+04
2.302088e-08,2.112030e+04
2.356899e-08,2.110146e+04
2.411711e-08,2.108659e+04
2.466523e-08,2.108104e+04
2.521334e-08,2.108747e+04
2.576146e-08,2.110061e+04
2.630957e-08,2.112204e+04
2.685769e-08,2.114851e+04
2.740581e-08,2.117723e+04
2.795392e-08,2.121048e+04
2.850204e-08,2.124353e+04
2.905015e-08,2.127998e+04
2.959827e-08,2.131977e+04
3.014639e-08,2.135687e+04
3.069450e-08,2.139998e+04
3.124262e-08,2.143738e+04
3.179073e-08,2.147921e+04
3.233885e-08,2.151002e+04
3.288697e-08,2.153364e+04
3.343508e-08,2.155459e+04
3.398320e-08,2.156330e+04
3.453132e-08,2.156848e+04
3.507943e-08,2.157482e+04
3.562755e-08,2.157138e+04
3.617566e-08,2.156197e+04
3.672378e-08,2.154646e+04
3.727190e-08,2.152878e+04
3.782001e-08,2.150540e+04
3.836813e-08,2.147912e+04
3.891624e-08,2.145116e+04
3.946436e-08,2.142283e+04
4.001248e-08,2.139029e+04
4.056059e-08,2.135265e+04
4.110871e-08,2.130539e+04
4.165682e-08,2.125721e+04
4.220494e-08,2.120342e+04
4.275306e-08,2.115821e+04
4.330117e-08,2.111151e+04
4.384929e-08,2.108215e+04
4.439741e-08,2.106055e+04
4.494552e-08,2.104287e+04
4.549364e-08,2.103692e+04
4.604175e-08,2.104061e+04
4.658987e-08,2.105309e+04
4.713799e-08,2.107577e+04
4.768610e-08,2.110630e+04
4.823422e-08,2.113835e+04
4.878233e-08,2.117998e+04
4.933045e-08,2.121622e+04
4.987857e-08,2.126507e+04
5.042668e-08,2.131548e+04
5.097480e-08,2.136427e+04
5.152291e-08,2.141838e+04
5.207103e-08,2.145833e+04
5.261915e-08,2.150028e+04
5.316726e-08,2.152892e+04
5.371538e-08,2.155460e+04
5.426350e-08,2.157626e+04
5.481161e-08,2.159216e+04
5.535973e-08,2.160374e+04
5.590784e-08,2.160909e+04
5.645596e-08,2.161353e+04
5.700408e-08,2.160355e+04
5.755219e-08,2.159448e+04
5.810031e-08,2.158414e+04
5.864842e-08,2.155807e+04
5.919654e-08,2.153479e+04
5.974466e-08,2.151386e+04
6.029277e-08,2.148206e+04
6.084089e-08,2.145049e+04
6.138900e-08,2.140447e+04
6.193712e-08,2.135112e+04
6.248524e-08,2.130130e+04
6.303335e-08,2.125057e+04
6.358147e-08,2.120011e+04
6.412959e-08,2.115384e+04
6.467770e-08,2.111354e+04
6.522582e-08,2.107777e+04
6.577393e-08,2.105422e+04
6.632205e-08,2.103677e+04
6.687017e-08,2.102514e+04
6.741828e-08,2.101904e+04
6.796640e-08,2.102214e+04
6.851451e-08,2.103017e+04
6.906263e-08,2.105188e+04
6.961075e-08,2.107845e+04
7.015886e-08,2.111381e+04
7.070698e-08,2.115397e+04
7.125509e-08,2.119865e+04
7.180321e-08,2.125731e+04
7.235133e-08,2.130841e+04
7.289944e-08,2.136095e+04
7.344756e-08,2.141389e+04
7.399568e-08,2.145785e+04
7.454379e-08,2.149761e+04
7.509191e-08,2.152890e+04
7.564002e-08,2.156137e+04
7.618814e-08,2.157594e+04
7.673626e-08,2.160007e+04
7.728437e-08,2.161332e+04
7.783249e-08,2.162026e+04
7.838060e-08,2.162421e+04
7.892872e-08,2.162554e+04
7.947684e-08,2.162460e+04
8.002495e-08,2.162176e+04
8.057307e-08,2.161073e+04
8.112118e-08,2.159654e+04
8.166930e-08,2.157722e+04
8.221742e-08,2.155195e+04
8.276553e-08,2.152381e+04
8.331365e-08,2.149172e+04
8.386177e-08,2.145518e+04
8.440988e-08,2.140066e+04
8.495800e-08,2.134789e+04
8.550611e-08,2.130234e+04
8.605423e-08,2.125339e+04
8.660235e-08,2.120912e+04
8.715046e-08,2.116136e+04
8.769858e-08,2.111976e+04
8.824669e-08,2.108302e+04
8.879481e-08,2.105661e+04
8.934293e-08,2.102988e+04
8.989104e-08,2.101168e+04
9.043916e-08,2.100142e+04
9.098727e-08,2.099607e+04
9.153539e-08,2.099779e+04
9.208351e-08,2.100888e+04
9.263162e-08,2.103397e+04
9.317974e-08,2.106714e+04
9.372786e-08,2.110727e+04
9.427597e-08,2.114688e+04
9.482409e-08,2.119110e+04
9.537220e-08,2.124160e+04
9.592032e-08,2.130297e+04
9.646844e-08,2.136148e+04
9.701655e-08,2.141503e+04
9.756467e-08,2.146000e+04
9.811278e-08,2.149426e+04
